"País","Puntuación","Categoría"
"China",2.26,"Régimen autoritario"
"Libia",2.19,"Régimen autoritario"
"Sudán",2.15,"Régimen autoritario"
"Laos",2.14,"Régimen autoritario"
"Uzbekistán",2.01,"Régimen autoritario"
"Guinea-Bisáu",1.98,"Régimen autoritario"
"Yemen",1.97,"Régimen autoritario"
"Arabia Saudita",1.96,"Régimen autoritario"
"Tayikistán",1.95,"Régimen autoritario"
"Guinea Ecuatorial",1.92,"Régimen autoritario"
"Turkmenistán",1.72,"Régimen autoritario"
"Chad",1.61,"Régimen autoritario"
"Siria",1.43,"Régimen autoritario"
"República Centroafricana",1.32,"Régimen autoritario"
"R. Democrática del Congo",1.13,"Régimen autoritario"
"Corea del Norte",1.08,"Régimen autoritario"
